# DEGENERATE GEOMETRY CSV FILE

# NUMBER OF COMPONENTS
1

# DegenGeom Type, Name, SurfNdx, GeomID, MainSurfNdx, SymCopyNdx, FlipNormal,t00,t01,t02,t03,t10,t11,t12,t13,t20,t21,t22,t23,t30,t31,t32,t33
LIFTING_SURFACE,PropGeom,0,ENIUPMQTWX,0,0,1,6.123233995736766036e-17, 0.000000000000000000e+00, -1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 6.123233995736766036e-17, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00
# DegenGeom Type,nXsecs, nPnts/Xsec
SURFACE_NODE,65,17
# x,y,z,u,w
-2.687469680378944646e-04, 8.576071875000000622e-02, 3.330249857095399398e-03, 1.031250000000000000e+00, 3.000000000000000000e+00
1.036092743593231523e-02, 8.576071875000000622e-02, 1.312373035239475759e-03, 1.031250000000000000e+00, 3.415838762408752949e+00
1.819861276792317933e-02, 8.576071875000002009e-02, -3.179237140775799560e-04, 1.031250000000000000e+00, 3.723464124463156111e+00
2.283222645009071183e-02, 8.576071875000000622e-02, -1.102281360492410323e-03, 1.031250000000000000e+00, 3.904044169930655173e+00
2.519832708366545604e-02, 8.576071875000000622e-02, -1.485402499737234917e-03, 1.031250000000000000e+00, 4.000000000000000000e+00
2.501615203314953503e-02, 8.806457812499997317e-02, -1.434927347405147956e-03, 1.046875000000000000e+00, 0.000000000000000000e+00
2.267993863140815511e-02, 8.806457812499997317e-02, -1.605318643416168110e-03, 1.046875000000000000e+00, 9.595583006934514658e-02
1.809023600650765812e-02, 8.806457812499998705e-02, -1.717442684772131590e-03, 1.046875000000000000e+00, 2.765358755368439447e-01
1.026943780655332691e-02, 8.806457812499997317e-02, -1.681675023247455924e-03, 1.046875000000000000e+00, 5.841612375912467181e-01
-3.003092298718387549e-04, 8.806457812499997317e-02, -1.455746033250468734e-03, 1.046875000000000000e+00, 1.000000000000000000e+00
-1.084831543361518789e-02, 8.806457812499997317e-02, -7.470775619299846026e-04, 1.046875000000000000e+00, 1.415838762408753171e+00
