# DEGENERATE GEOMETRY CSV FILE

# NUMBER OF COMPONENTS
1

# DegenGeom Type, Name, SurfNdx, GeomID, MainSurfNdx, SymCopyNdx, FlipNormal,t00,t01,t02,t03,t10,t11,t12,t13,t20,t21,t22,t23,t30,t31,t32,t33
LIFTING_SURFACE,PropGeom,0,BNRIVEPAOP,0,0,1,6.123233995736766036e-17, 0.000000000000000000e+00, -1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 6.123233995736766036e-17, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00
# DegenGeom Type,nXsecs, nPnts/Xsec
SURFACE_NODE,50,25
# x,y,z,u,w
4.558742239429999094e-02, 2.543196734693876082e-01, -6.309059400539667080e-04, 1.102040816326530503e+00, 1.243194147256564686e-01
3.902708754239749001e-02, 2.543196734693876082e-01, -1.062131678824980397e-03, 1.102040816326530503e+00, 2.483789085618058612e-01
2.904795084936116073e-02, 2.543196734693876082e-01, -1.718399987480282668e-03, 1.102040816326530503e+00, 4.370901933198670375e-01
1.541313972395306174e-02, 2.543196734693876082e-01, -2.614370060338768245e-03, 1.102040816326530503e+00, 6.949315309392636308e-01
-7.190410274217621427e-04, 2.543196734693876082e-01, -3.674914865205206570e-03, 1.102040816326530503e+00, 1.000000000000000000e+00
-1.685302214632710543e-02, 2.543196734693876082e-01, -4.706449543343709137e-03, 1.102040816326530503e+00, 1.305068469060736591e+00
-3.051109994121512653e-02, 2.543196734693875527e-01, -5.033117562826277917e-03, 1.102040816326530503e+00, 1.562909806680132796e+00
-4.049403100114233600e-02, 2.543196734693876082e-01, -4.500156888965329248e-03, 1.102040816326530503e+00, 1.751621091438194222e+00
-4.696925652773552978e-02, 2.543196734693876082e-01, -3.394780778690765100e-03, 1.102040816326530503e+00, 1.875680585274343448e+00
-5.068760102122730343e-02, 2.543196734693876082e-01, -1.904930844507022247e-03, 1.102040816326530503e+00, 1.951584046726686061e+00
-5.194999999999998230e-02, 2.543196734693876082e-01, -3.181020060785249229e-18, 1.102040816326530503e+00, 2.000000000000000000e+00
-5.068760102122731037e-02, 2.543196734693876082e-01, 1.904930844507014224e-03, 1.102040816326530503e+00, 2.048415953273313939e+00
-4.696925652773555060e-02, 2.543196734693876082e-01, 3.394780778690761197e-03, 1.102040816326530503e+00, 2.124319414725656774e+00
-4.049403100114234988e-02, 2.543196734693876082e-01, 4.500156888965321442e-03, 1.102040816326530503e+00, 2.248378908561805556e+00
-3.051109994121513347e-02, 2.543196734693876082e-01, 5.033117562826275315e-03, 1.102040816326530503e+00, 2.437090193319866760e+00
-1.685302214632708462e-02, 2.543196734693876082e-01, 4.706449543343708269e-03, 1.102040816326530503e+00, 2.694931530939263631e+00
-7.190410274217563964e-04, 2.543196734693876082e-01, 3.674914865205211774e-03, 1.102040816326530503e+00, 3.000000000000000000e+00
1.541313972395304092e-02, 2.543196734693876082e-01, 2.614370060338772148e-03, 1.102040816326530503e+00, 3.305068469060736369e+00
2.904795084936116073e-02, 2.543196734693875527e-01, 1.718399987480283102e-03, 1.102040816326530503e+00, 3.562909806680132796e+00
3.902708754239747613e-02, 2.543196734693876082e-01, 1.062131678824986035e-03, 1.102040816326530503e+00, 3.751621091438194000e+00
4.558742239429997012e-02, 2.543196734693876082e-01, 6.309059400539727795e-04, 1.102040816326530503e+00, 3.875680585274343670e+00
4.960121058088049623e-02, 2.543196734693876082e-01, 3.666278254296993213e-04, 1.102040816326530503e+00, 3.951584046726686061e+00
5.194999999999998230e-02, 2.543196734693876082e-01, 3.181020060785249229e-18, 1.102040816326530503e+00, 4.000000000000000000e+00
5.194999999999999618e-02, 2.703124081632652942e-01, 3.181020060785249999e-18, 1.122448979591836649e+00, 0.000000000000000000e+00
4.960121058088051704e-02, 2.703124081632652942e-01, -3.666278254296927077e-04, 1.122448979591836649e+00, 4.841595327331393861e-02
4.558742239430001175e-02, 2.703124081632652942e-01, -6.309059400539668164e-04, 1.122448979591836649e+00, 1.243194147256564686e-01
3.902708754239750388e-02, 2.703124081632652942e-01, -1.062131678824980614e-03, 1.122448979591836649e+00, 2.483789085618058612e-01
2.904795084936117808e-02, 2.703124081632652942e-01, -1.718399987480282668e-03, 1.122448979591836649e+00, 4.370901933198670375e-01
1.541313972395306695e-02, 2.703124081632652942e-01, -2.614370060338769113e-03, 1.122448979591836649e+00, 6.949315309392636308e-01
-7.190410274217624680e-04, 2.703124081632652942e-01, -3.674914865205207437e-03, 1.122448979591836649e+00, 1.000000000000000000e+00
-1.685302214632710890e-02, 2.703124081632652942e-01, -4.706449543343710872e-03, 1.122448979591836649e+00, 1.305068469060736591e+00
-3.051109994121512653e-02, 2.703124081632652942e-01, -5.033117562826279652e-03, 1.122448979591836649e+00, 1.562909806680132796e+00
-4.049403100114234294e-02, 2.703124081632652942e-01, -4.500156888965330115e-03, 1.122448979591836649e+00, 1.751621091438194222e+00
-4.696925652773554366e-02, 2.703124081632652942e-01, -3.394780778690766401e-03, 1.122448979591836649e+00, 1.875680585274343448e+00
-5.068760102122730343e-02, 2.703124081632652942e-01, -1.904930844507022464e-03, 1.122448979591836649e+00, 1.951584046726686061e+00
-5.194999999999999618e-02, 2.703124081632652942e-01, -3.181020060785249999e-18, 1.122448979591836649e+00, 2.000000000000000000e+00
-5.068760102122732425e-02, 2.703124081632652942e-01, 1.904930844507014658e-03, 1.122448979591836649e+00, 2.048415953273313939e+00
-4.696925652773555060e-02, 2.703124081632652942e-01, 3.394780778690762064e-03, 1.122448979591836649e+00, 2.124319414725656774e+00
-4.049403100114236376e-02, 2.703124081632652942e-01, 4.500156888965323176e-03, 1.122448979591836649e+00, 2.248378908561805556e+00
-3.051109994121515429e-02, 2.703124081632652942e-01, 5.033117562826277050e-03, 1.122448979591836649e+00, 2.437090193319866760e+00
-1.685302214632709156e-02, 2.703124081632652942e-01, 4.706449543343708269e-03, 1.122448979591836649e+00, 2.694931530939263631e+00
-7.190410274217532522e-04, 2.703124081632652942e-01, 3.674914865205211774e-03, 1.122448979591836649e+00, 3.000000000000000000e+00
1.541313972395304786e-02, 2.703124081632652942e-01, 2.614370060338772582e-03, 1.122448979591836649e+00, 3.305068469060736369e+00
2.904795084936117461e-02, 2.703124081632652942e-01, 1.718399987480283102e-03, 1.122448979591836649e+00, 3.562909806680132796e+00
3.902708754239749001e-02, 2.703124081632652942e-01, 1.062131678824986035e-03, 1.122448979591836649e+00, 3.751621091438194000e+00
4.558742239429998400e-02, 2.703124081632652942e-01, 6.309059400539727795e-04, 1.122448979591836649e+00, 3.875680585274343670e+00
4.960121058088051704e-02, 2.703124081632652942e-01, 3.666278254296993213e-04, 1.122448979591836649e+00, 3.951584046726686061e+00
5.194999999999999618e-02, 2.703124081632652942e-01, 3.181020060785249999e-18, 1.122448979591836649e+00, 4.000000000000000000e+00
5.194999999999999618e-02, 2.863051428571429247e-01, 3.181020060785249229e-18, 1.142857142857142794e+00, 0.000000000000000000e+00
4.960121058088050316e-02, 2.863051428571429247e-01, -3.666278254296927619e-04, 1.142857142857142794e+00, 4.841595327331393861e-02
4.558742239430001175e-02, 2.863051428571429247e-01, -6.309059400539669248e-04, 1.142857142857142794e+00, 1.243194147256564686e-01
3.902708754239751082e-02, 2.863051428571429247e-01, -1.062131678824980831e-03, 1.142857142857142794e+00, 2.483789085618058612e-01
2.904795084936118155e-02, 2.863051428571429247e-01, -1.718399987480283102e-03, 1.142857142857142794e+00, 4.370901933198670375e-01
1.541313972395307041e-02, 2.863051428571429247e-01, -2.614370060338769113e-03, 1.142857142857142794e+00, 6.949315309392636308e-01
-7.190410274217624680e-04, 2.863051428571429247e-01, -3.674914865205207871e-03, 1.142857142857142794e+00, 1.000000000000000000e+00
-1.685302214632711237e-02, 2.863051428571429247e-01, -4.706449543343710872e-03, 1.142857142857142794e+00, 1.305068469060736591e+00
-3.051109994121512653e-02, 2.863051428571429247e-01, -5.033117562826279652e-03, 1.142857142857142794e+00, 1.562909806680132796e+00
-4.049403100114234988e-02, 2.863051428571429247e-01, -4.500156888965329248e-03, 1.142857142857142794e+00, 1.751621091438194222e+00
-4.696925652773553672e-02, 2.863051428571429247e-01, -3.394780778690767269e-03, 1.142857142857142794e+00, 1.875680585274343448e+00
-5.068760102122731037e-02, 2.863051428571429247e-01, -1.904930844507022464e-03, 1.142857142857142794e+00, 1.951584046726686061e+00
-5.194999999999999618e-02, 2.863051428571429247e-01, -3.181020060785249229e-18, 1.142857142857142794e+00, 2.000000000000000000e+00
-5.068760102122731037e-02, 2.863051428571429247e-01, 1.904930844507014658e-03, 1.142857142857142794e+00, 2.048415953273313939e+00
-4.696925652773555060e-02, 2.863051428571429247e-01, 3.394780778690762498e-03, 1.142857142857142794e+00, 2.124319414725656774e+00
