x	y
0.694	-4.780
0.697	-4.641
0.698	-4.629
0.698	-4.780
0.698	-4.700
0.700	-5.030
0.702	-5.109
0.702	-5.198
0.704	-5.197
0.704	-5.281
0.705	-5.197
0.707	-4.886
0.709	-4.695
0.709	-4.695
0.709	-4.695
0.711	-4.444
0.711	-4.323
0.713	-4.172
0.713	-4.174
0.715	-3.607
0.716	-3.523
0.716	-3.523
0.716	-3.356
0.719	-3.188
0.721	-3.188
0.721	-3.188
0.721	-3.355
0.722	-3.355
0.725	-3.188
0.726	-3.355
0.727	-3.355
0.727	-3.355
0.728	-3.271
0.731	-2.996
0.732	-2.853
0.732	-2.834
0.732	-2.838
0.733	-2.769
0.736	-2.536
0.737	-2.397
0.737	-2.398
0.737	-2.350
0.739	-2.183
0.741	-2.015
0.742	-2.015
0.742	-2.015
0.743	-2.015
0.744	-2.015
0.748	-1.758
0.748	-1.758
0.748	-1.759
0.748	-1.847
0.750	-1.847
0.754	-1.680
0.754	-1.680
0.754	-1.680
0.754	-1.680
0.755	-1.679
0.760	-1.679
0.760	-1.671
0.760	-1.679
0.760	-1.675
0.761	-1.679
0.765	-1.428
0.766	-1.177
0.766	-1.177
0.766	-1.177
0.767	-1.177
0.771	-0.925
0.772	-0.841
0.772	-0.841
0.772	-0.841
0.772	-0.841
0.776	-0.757
0.778	-0.757
0.779	-0.540
0.779	-0.563
0.779	-0.550
0.782	-0.506
0.783	-0.506
0.785	-0.345
0.785	-0.341
0.785	-0.339
0.788	-0.422
0.789	-0.338
0.790	-0.338
0.790	-0.338
0.790	-0.338
0.793	-0.505
0.795	-0.505
0.797	-0.505
0.797	-0.505
0.797	-0.505
0.799	-0.672
0.800	-0.672
0.803	-0.505
0.803	-0.505
0.803	-0.505
0.804	-0.672
0.806	-0.672
0.808	-0.504
0.808	-0.504
0.808	-0.504
0.810	-0.671
0.811	-0.755
0.814	-0.806
0.814	-0.812
0.814	-0.814
0.815	-1.006
0.817	-1.005
0.821	-1.005
0.821	-1.005
0.821	-1.005
0.821	-1.172
0.822	-1.089
0.827	-1.005
0.828	-0.921
0.828	-0.928
0.828	-0.929
0.828	-0.928
0.832	-1.004
0.834	-1.004
0.834	-1.004
0.837	-0.837
0.838	-0.837
0.838	-0.837
0.839	-0.836
0.840	-0.669
0.843	-0.836
0.844	-0.783
0.845	-0.770
0.845	-0.836
0.846	-0.831
0.849	-1.087
0.850	-1.170
0.851	-1.003
0.852	-1.003
0.852	-1.003
0.855	-1.170
0.856	-1.253
0.857	-1.031
0.857	-1.046
0.857	-1.037
0.860	-0.835
0.862	-0.667
0.863	-0.578
0.863	-0.577
0.863	-0.577
0.866	-0.500
0.867	-0.416
0.870	-0.332
0.870	-0.332
0.870	-0.332
0.871	-0.332
0.873	-0.248
0.876	0.041
0.876	0.043
0.876	0.045
0.877	0.170
0.878	0.338
0.880	0.546
0.880	0.548
0.880	0.589
0.882	0.756
0.884	0.840
0.885	0.840
0.885	0.840
0.886	0.840
0.888	0.757
0.889	0.757
0.891	0.841
0.891	0.841
0.894	1.008
0.894	1.008
0.895	1.008
0.896	1.176
0.897	1.176
0.899	1.176
0.901	1.176
0.901	1.176
0.903	1.195
0.904	1.185
0.905	1.093
0.906	1.093
0.910	1.093
0.910	1.177
0.910	1.177
0.912	1.177
0.916	1.261
0.917	1.344
0.917	1.344
0.917	1.344
0.922	1.177
0.923	1.178
0.924	1.178
0.924	1.178
0.927	0.760
0.928	0.843
0.929	0.843
0.930	0.843
0.933	0.676
0.934	0.760
0.935	0.705
0.935	0.711
0.938	0.677
0.940	0.677
0.941	0.677
0.941	0.677
0.944	0.594
0.945	0.426
0.947	0.537
0.947	0.529
0.949	0.176
0.951	0.092
0.955	-0.075
0.955	0.009
0.956	0.009
0.956	-0.075
0.961	-0.242
0.961	-0.158
0.962	-0.325
0.962	-0.158
0.966	-0.492
0.968	-0.492
0.972	-0.492
0.973	-0.492
0.977	-0.491
0.979	-0.491
0.983	-0.407
0.984	-0.324
0.989	-0.323
0.990	-0.323
0.994	-0.156
0.995	-0.072
